;Cheval;Age;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur;spec
8654;IRRESISTABLE             ;3;F;PUR SANG;4;0;4;13720,00;0,00;13720,00;3430,00;590.0;obst
8655;WUTI                     ;6;H;PUR SANG;8;0;4;13715,00;0,00;13715,00;1714,38;490.0;obst
8656;MESSAGE PERSONNEL        ;3;H;PUR SANG;2;1;1;13710,00;0,00;13710,00;6855,00;;obst
8657;FANTASSIN                ;6;H;CHEVAL AUTRE QUE PUR SANG;7;1;3;13700,00;0,00;13700,00;1957,14;530.0;obst
8658;DIAMOND DARK             ;8;H;CHEVAL AUTRE QUE PUR SANG;9;1;5;13650,00;0,00;13650,00;1516,67;;obst
8659;NORATHIR                 ;5;F;PUR SANG;4;1;1;13640,00;0,00;13640,00;3410,00;550.0;obst
8660;MONJULES                 ;3;H;PUR SANG;7;0;5;13640,00;0,00;13640,00;1948,57;580.0;obst
8661;COMMINGEOIS              ;9;H;PUR SANG;12;0;10;13605,00;0,00;13605,00;1133,75;460.0;obst
8662;HYJIE                    ;4;F;CHEVAL AUTRE QUE PUR SANG;4;0;3;13565,00;0,00;13565,00;3391,25;565.0;obst
8663;HIGH CROSS               ;4;H;CHEVAL AUTRE QUE PUR SANG;3;2;1;13560,00;0,00;13560,00;4520,00;560.0;obst
8664;HIDEO                    ;4;H;CHEVAL AUTRE QUE PUR SANG;3;0;2;13520,00;0,00;13520,00;4506,67;595.0;obst
8665;CAID DU PORTO            ;4;H;PUR SANG;4;1;3;13515,00;0,00;13515,00;3378,75;580.0;obst
8666;ESPOIR D'ECUPILLAC       ;7;H;CHEVAL AUTRE QUE PUR SANG;4;1;2;13510,00;0,00;13510,00;3377,50;525.0;obst
8667;HORUS D'AUBRELLE         ;4;H;CHEVAL AUTRE QUE PUR SANG;5;1;4;13510,00;0,00;13510,00;2702,00;530.0;obst
8668;HOP LA DE SIVOLA         ;4;F;PUR SANG;6;1;5;13510,00;0,00;13510,00;2251,67;520.0;obst
8669;PINNACLE                 ;4;H;PUR SANG;2;1;1;13500,00;0,00;13500,00;6750,00;;obst
8670;NAPOLITAIN SIZING        ;7;H;PUR SANG;5;1;0;13500,00;0,00;13500,00;2700,00;500.0;obst
8671;FOUDRE D'AINAY           ;6;F;PUR SANG;3;1;2;13500,00;0,00;13500,00;4500,00;560.0;obst
8672;KALDORINA                ;5;F;PUR SANG;2;1;1;13480,00;0,00;13480,00;6740,00;550.0;obst
8673;TAKING POWER             ;3;H;PUR SANG;12;0;6;13460,00;0,00;13460,00;1121,67;545.0;obst
8674;SOL BLADE                ;7;H;PUR SANG;2;1;1;13455,00;0,00;13455,00;6727,50;355.0;obst
8675;KHELIANA CHOPE           ;5;F;PUR SANG;6;0;4;13440,00;0,00;13440,00;2240,00;550.0;obst
8676;BLASON D'OR              ;10;H;CHEVAL AUTRE QUE PUR SANG;5;0;3;13425,00;0,00;13425,00;2685,00;;obst
8677;DOUGLASS                 ;8;H;CHEVAL AUTRE QUE PUR SANG;7;0;5;13365,00;0,00;13365,00;1909,29;520.0;obst
8678;DON AXXO                 ;8;H;CHEVAL AUTRE QUE PUR SANG;3;0;3;13350,00;0,00;13350,00;4450,00;560.0;obst
8679;VIEW GOLD                ;6;H;PUR SANG;4;2;1;13340,00;0,00;13340,00;3335,00;530.0;obst
8680;KAPROSE D'ANJOU          ;5;F;PUR SANG;7;1;4;13315,00;0,00;13315,00;1902,14;;obst
8681;CRAZY MARTA              ;4;F;PUR SANG;5;0;4;13310,00;0,00;13310,00;2662,00;570.0;obst
8682;COMING ALONE             ;5;F;PUR SANG;3;1;2;13305,00;0,00;13305,00;4435,00;550.0;obst
8683;MOI PRESIDENTE           ;4;F;PUR SANG;2;1;1;13290,00;0,00;13290,00;6645,00;580.0;obst
8684;DALYSON DE FANGEY        ;8;F;CHEVAL AUTRE QUE PUR SANG;5;1;3;13260,00;0,00;13260,00;2652,00;480.0;obst
8685;HOLLEE                   ;4;F;CHEVAL AUTRE QUE PUR SANG;5;0;4;13245,00;0,00;13245,00;2649,00;540.0;obst
8686;ILVIENTDELA BAIE         ;3;H;PUR SANG;4;1;1;13200,00;0,00;13200,00;3300,00;580.0;obst
8687;FLEUR D'ESTRUVAL         ;6;F;CHEVAL AUTRE QUE PUR SANG;5;1;2;13200,00;0,00;13200,00;2640,00;550.0;obst
8688;ILYVA                    ;3;H;CHEVAL AUTRE QUE PUR SANG;3;1;1;13200,00;0,00;13200,00;4400,00;;obst
8689;HOOLIGAN                 ;6;H;PUR SANG;1;0;1;13200,00;0,00;13200,00;13200,00;;obst
8690;DEEJAY MECENE            ;7;H;PUR SANG;8;0;4;13170,00;0,00;13170,00;1646,25;470.0;obst
8691;GINE SACRE               ;5;F;CHEVAL AUTRE QUE PUR SANG;6;0;5;13140,00;0,00;13140,00;2190,00;510.0;obst
8692;HARDEQARDE               ;4;H;CHEVAL AUTRE QUE PUR SANG;5;0;4;13080,00;0,00;13080,00;2616,00;560.0;obst
8693;SAINT EX                 ;4;H;PUR SANG;3;2;1;13065,00;0,00;13065,00;4355,00;580.0;obst
8694;LIMPOPO HAS              ;7;H;PUR SANG;4;2;1;13065,00;0,00;13065,00;3266,25;550.0;obst
8695;EMIRA DU GOUET           ;7;F;CHEVAL AUTRE QUE PUR SANG;5;1;1;13065,00;0,00;13065,00;2613,00;510.0;obst
8696;DE BONNE GRACE           ;3;F;PUR SANG;3;0;3;13050,00;0,00;13050,00;4350,00;620.0;obst
8697;SOLINGEN                 ;4;F;PUR SANG;8;0;6;13050,00;0,00;13050,00;1631,25;510.0;obst
8698;VINO DE VICI             ;4;F;PUR SANG;3;0;3;13050,00;0,00;13050,00;4350,00;;obst
8699;GO FAST DES PLACES       ;5;H;PUR SANG;4;1;3;13025,00;0,00;13025,00;3256,25;580.0;obst
8700;MISS KADIX               ;4;F;PUR SANG;4;1;3;13010,00;0,00;13010,00;3252,50;560.0;obst
8701;EAU DE VIE SIVOLA        ;7;F;CHEVAL AUTRE QUE PUR SANG;4;1;3;13000,00;0,00;13000,00;3250,00;;obst
8702;TORAJONE                 ;6;F;PUR SANG;7;1;4;12990,00;0,00;12990,00;1855,71;510.0;obst
8703;GUILI GUILI              ;5;F;CHEVAL AUTRE QUE PUR SANG;6;1;2;12980,00;0,00;12980,00;2163,33;520.0;obst
8704;LYSON DES AIGLES         ;3;F;PUR SANG;6;0;5;12970,00;0,00;12970,00;2161,67;560.0;obst
8705;FEE ANTIQUE              ;6;F;CHEVAL AUTRE QUE PUR SANG;7;1;3;12960,00;0,00;12960,00;1851,43;;obst
8706;SINGAPORE TRIP           ;3;H;PUR SANG;5;1;3;12960,00;0,00;12960,00;2592,00;600.0;obst
8707;BATHYSTIK                ;3;H;PUR SANG;3;0;1;12960,00;0,00;12960,00;4320,00;;obst
8708;HOSANA CONTI             ;4;F;CHEVAL AUTRE QUE PUR SANG;4;1;3;12945,00;0,00;12945,00;3236,25;540.0;obst
8709;GAZELLE MAIL             ;5;F;PUR SANG;9;0;8;12945,00;0,00;12945,00;1438,33;490.0;obst
8710;HE LOVES ME              ;10;H;PUR SANG;6;1;3;12940,00;0,00;12940,00;2156,67;545.0;obst
8711;SWEET CESARIA            ;4;F;PUR SANG;7;0;5;12935,00;0,00;12935,00;1847,86;510.0;obst
8712;KARL EDOUARD             ;4;H;PUR SANG;2;0;2;12925,00;0,00;12925,00;6462,50;;obst
8713;GUERRE DES GAULES        ;5;F;CHEVAL AUTRE QUE PUR SANG;6;1;3;12920,00;0,00;12920,00;2153,33;530.0;obst
8714;BRIAC D'ECHAL            ;4;H;PUR SANG;5;1;3;12895,00;0,00;12895,00;2579,00;570.0;obst
8715;HONEY DU GRANIT          ;4;F;CHEVAL AUTRE QUE PUR SANG;1;1;0;12880,00;0,00;12880,00;12880,00;620.0;obst
8716;HARDY DU SEUIL           ;4;H;CHEVAL AUTRE QUE PUR SANG;1;1;0;12880,00;0,00;12880,00;12880,00;;obst
8717;MIRABELLAS               ;4;F;PUR SANG;8;0;6;12880,00;0,00;12880,00;1610,00;500.0;obst
8718;POLINUIT                 ;7;H;PUR SANG;3;0;2;12870,00;0,00;12870,00;4290,00;570.0;obst
8719;RAFFLES QUATTRO          ;4;H;PUR SANG;3;1;1;12840,00;0,00;12840,00;4280,00;530.0;obst
8720;CORENTIN COLLONGES       ;9;H;CHEVAL AUTRE QUE PUR SANG;8;0;6;12820,00;0,00;12820,00;1602,50;;obst
8721;GINJA DES TAILLONS       ;4;F;PUR SANG;6;1;5;12815,00;0,00;12815,00;2135,83;550.0;obst
8722;FIRST DAUM               ;7;H;PUR SANG;5;0;5;12785,00;0,00;12785,00;2557,00;555.0;obst
8723;CRASPOUETTE              ;10;H;PUR SANG;9;1;4;12745,00;0,00;12745,00;1416,11;460.0;obst
8724;HE LA VOILA              ;4;F;CHEVAL AUTRE QUE PUR SANG;2;0;2;12740,00;0,00;12740,00;6370,00;530.0;obst
8725;GAELIC WARRIOR           ;3;H;PUR SANG;3;0;2;12740,00;0,00;12740,00;4246,67;630.0;obst
8726;GAIETE DE COEUR          ;5;F;CHEVAL AUTRE QUE PUR SANG;6;0;4;12740,00;0,00;12740,00;2123,33;530.0;obst
8727;ARAUCARIAS               ;4;H;PUR SANG;4;1;2;12720,00;0,00;12720,00;3180,00;590.0;obst
8728;FANDANGO                 ;6;H;CHEVAL AUTRE QUE PUR SANG;3;1;1;12690,00;0,00;12690,00;4230,00;625.0;obst
8729;CUZCO DE PINGUILY        ;9;H;PUR SANG;8;1;4;12670,00;0,00;12670,00;1583,75;480.0;obst
8730;HO LA VOILA              ;4;F;CHEVAL AUTRE QUE PUR SANG;6;1;4;12670,00;0,00;12670,00;2111,67;545.0;obst
8731;SPINOZZAR                ;7;H;PUR SANG;5;0;3;12645,00;0,00;12645,00;2529,00;600.0;obst
8732;GIFT OF FORTUNE          ;5;F;PUR SANG;4;1;1;12600,00;0,00;12600,00;3150,00;560.0;obst
8733;CAFERTITI                ;9;H;CHEVAL AUTRE QUE PUR SANG;2;0;1;12600,00;0,00;12600,00;6300,00;630.0;obst
8734;DJANGO D'ALENE           ;8;H;CHEVAL AUTRE QUE PUR SANG;4;2;1;12585,00;0,00;12585,00;3146,25;520.0;obst
8735;PARIMIX                  ;4;H;PUR SANG;2;0;2;12560,00;0,00;12560,00;6280,00;560.0;obst
8736;RED ROCKY                ;8;H;PUR SANG;5;1;2;12555,00;0,00;12555,00;2511,00;550.0;obst
8737;MARCHE A L'OMBRE         ;5;F;PUR SANG;3;1;1;12540,00;0,00;12540,00;4180,00;565.0;obst
8738;BARONNE DU BRIZAIS       ;3;F;PUR SANG;3;0;3;12540,00;0,00;12540,00;4180,00;600.0;obst
8739;IMENHOTEP                ;3;H;PUR SANG;6;0;4;12540,00;0,00;12540,00;2090,00;595.0;obst
8740;ESPIRITO                 ;7;H;CHEVAL AUTRE QUE PUR SANG;5;0;5;12520,00;0,00;12520,00;2504,00;500.0;obst
8741;MONA DE BAUNE            ;7;F;PUR SANG;6;0;6;12515,00;0,00;12515,00;2085,83;510.0;obst
8742;AYRTON BANKS             ;5;H;PUR SANG;3;1;2;12510,00;0,00;12510,00;4170,00;570.0;obst
8743;URBOK                    ;6;H;PUR SANG;7;1;4;12495,00;0,00;12495,00;1785,00;;obst
8744;MAURREN                  ;6;F;PUR SANG;5;1;3;12490,00;0,00;12490,00;2498,00;525.0;obst
8745;ELLIE'STAR               ;7;F;CHEVAL AUTRE QUE PUR SANG;4;2;0;12480,00;0,00;12480,00;3120,00;;obst
8746;GEMIXA                   ;5;F;CHEVAL AUTRE QUE PUR SANG;3;2;0;12480,00;0,00;12480,00;4160,00;;obst
8747;GREAT PARADE             ;7;H;PUR SANG;2;0;1;12480,00;0,00;12480,00;6240,00;570.0;obst
8748;MAGISTRATO               ;3;H;PUR SANG;1;0;1;12480,00;0,00;12480,00;12480,00;;obst
8749;FIDELE AU POSTE          ;6;H;PUR SANG;1;0;1;12480,00;0,00;12480,00;12480,00;640.0;obst
8750;SINDALA                  ;4;F;PUR SANG;5;1;3;12460,00;0,00;12460,00;2492,00;540.0;obst
8751;GOLD CENT                ;4;F;PUR SANG;2;1;1;12460,00;0,00;12460,00;6230,00;560.0;obst
8752;SAINT DUBAWI             ;4;H;PUR SANG;5;0;4;12460,00;0,00;12460,00;2492,00;575.0;obst
8753;FORZA                    ;6;H;CHEVAL AUTRE QUE PUR SANG;6;0;4;12450,00;0,00;12450,00;2075,00;540.0;obst
8754;BALZANE DU BOIS          ;10;F;CHEVAL AUTRE QUE PUR SANG;4;1;2;12425,00;0,00;12425,00;3106,25;555.0;obst
8755;ISKANDARA                ;3;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;12420,00;0,00;12420,00;12420,00;;obst
8756;SI ELEGANT               ;3;H;PUR SANG;1;0;1;12420,00;0,00;12420,00;12420,00;;obst
8757;HOMESUN                  ;4;H;CHEVAL AUTRE QUE PUR SANG;7;0;5;12420,00;0,00;12420,00;1774,29;520.0;obst
8758;RAFFLES ODEON            ;3;H;PUR SANG;1;0;1;12420,00;0,00;12420,00;12420,00;;obst
8759;HORS PAIR                ;4;H;PUR SANG;7;0;4;12400,00;0,00;12400,00;1771,43;550.0;obst
8760;DIESEL D'ALLIER          ;8;H;PUR SANG;3;0;2;12400,00;0,00;12400,00;4133,33;;obst
8761;HONESTA                  ;4;F;PUR SANG;6;0;4;12400,00;0,00;12400,00;2066,67;550.0;obst
8762;HEURE SAINTE             ;4;F;CHEVAL AUTRE QUE PUR SANG;5;2;2;12390,00;0,00;12390,00;2478,00;560.0;obst
8763;ON YOUR MARKS            ;4;H;PUR SANG;6;0;4;12340,00;0,00;12340,00;2056,67;510.0;obst
8764;HELLO DIVA               ;4;F;CHEVAL AUTRE QUE PUR SANG;4;1;2;12320,00;0,00;12320,00;3080,00;545.0;obst
8765;GARGOTE DU LARGE         ;5;F;CHEVAL AUTRE QUE PUR SANG;3;0;3;12320,00;0,00;12320,00;4106,67;550.0;obst
8766;ALTHOR                   ;6;H;PUR SANG;5;1;3;12315,00;0,00;12315,00;2463,00;550.0;obst
8767;RED ALEX                 ;3;H;PUR SANG;4;0;2;12310,00;0,00;12310,00;3077,50;600.0;obst
8768;FIRST D'ANJOU            ;6;H;CHEVAL AUTRE QUE PUR SANG;7;1;5;12295,00;0,00;12295,00;1756,43;525.0;obst
8769;FHILIRELLE               ;6;F;CHEVAL AUTRE QUE PUR SANG;7;1;3;12280,00;0,00;12280,00;1754,29;505.0;obst
8770;IMAGINE ALLEN            ;3;F;CHEVAL AUTRE QUE PUR SANG;5;1;3;12270,00;0,00;12270,00;2454,00;560.0;obst
8771;HAUTE IDEE               ;4;F;CHEVAL AUTRE QUE PUR SANG;6;1;4;12235,00;0,00;12235,00;2039,17;525.0;obst
8772;HARRY CONTI              ;4;H;CHEVAL AUTRE QUE PUR SANG;2;1;1;12235,00;0,00;12235,00;6117,50;;obst
8773;INFLUENCE BERE           ;3;F;PUR SANG;5;1;4;12195,00;0,00;12195,00;2439,00;575.0;obst
8774;HEMEVOICI                ;4;H;CHEVAL AUTRE QUE PUR SANG;3;0;3;12195,00;0,00;12195,00;4065,00;605.0;obst
8775;LIFE'S A BREEZE          ;5;H;PUR SANG;7;0;4;12185,00;0,00;12185,00;1740,71;540.0;obst
8776;HAUTE CORREZE            ;9;F;ANGLO-ARABE;8;1;3;12150,00;0,00;12150,00;1518,75;470.0;obst
8777;RAFFLES CAPITAL          ;3;F;PUR SANG;5;1;2;12105,00;0,00;12105,00;2421,00;560.0;obst
8778;ZITAN                    ;5;H;PUR SANG;5;0;4;12090,00;0,00;12090,00;2418,00;580.0;obst
8779;XAMAKA                   ;12;H;PUR SANG;6;2;1;12080,00;0,00;12080,00;2013,33;490.0;obst
8780;BABA STONE               ;12;H;PUR SANG;3;1;1;12060,00;0,00;12060,00;4020,00;;obst
8781;GIPPSY DE CHENOUR AA     ;5;F;*ANGLO-ARABE*;4;1;2;12020,00;0,00;12020,00;3005,00;;obst
8782;GARDE CONTRE             ;5;F;PUR SANG;4;0;3;12020,00;0,00;12020,00;3005,00;550.0;obst
8783;CHAMPI DE BERSY          ;9;H;PUR SANG;5;0;4;12010,00;0,00;12010,00;2402,00;485.0;obst
8784;LADY HANWELL             ;4;F;PUR SANG;4;0;3;12010,00;0,00;12010,00;3002,50;560.0;obst
8785;FIRONICA                 ;6;F;CHEVAL AUTRE QUE PUR SANG;7;1;4;12005,00;0,00;12005,00;1715,00;505.0;obst
8786;FEE CAMAZENNE            ;6;F;CHEVAL AUTRE QUE PUR SANG;2;2;0;12000,00;0,00;12000,00;6000,00;;obst
8787;MISTER MO                ;6;H;PUR SANG;6;1;2;12000,00;0,00;12000,00;2000,00;510.0;obst
8788;CADEAU D'ESTRUVAL        ;9;H;CHEVAL AUTRE QUE PUR SANG;3;1;1;12000,00;0,00;12000,00;4000,00;;obst
8789;DICLA                    ;8;F;CHEVAL AUTRE QUE PUR SANG;5;1;2;12000,00;0,00;12000,00;2400,00;520.0;obst
8790;EDEN CONTI               ;7;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;12000,00;0,00;12000,00;12000,00;;obst
8791;BOOGIE                   ;3;H;PUR SANG;3;0;1;12000,00;0,00;12000,00;4000,00;590.0;obst
8792;BANNISTER                ;4;H;PUR SANG;2;1;0;11960,00;0,00;11960,00;5980,00;610.0;obst
8793;KOREGAON PARK            ;5;H;PUR SANG;2;0;2;11960,00;0,00;11960,00;5980,00;550.0;obst
8794;CLENY                    ;9;H;PUR SANG;3;1;2;11950,00;0,00;11950,00;3983,33;565.0;obst
8795;GREAT MIX                ;5;H;PUR SANG;9;1;2;11880,00;0,00;11880,00;1320,00;485.0;obst
8796;SURDOUE DE BALLON        ;8;H;PUR SANG;3;0;3;11850,00;0,00;11850,00;3950,00;530.0;obst
8797;DANTZA BASC              ;3;F;PUR SANG;11;0;7;11850,00;0,00;11850,00;1077,27;550.0;obst
8798;COOKILAYONE              ;5;F;PUR SANG;5;1;2;11830,00;0,00;11830,00;2366,00;550.0;obst
8799;BURROWS MARVEL           ;4;H;PUR SANG;3;1;2;11830,00;0,00;11830,00;3943,33;565.0;obst
8800;MUHAYA KAILLILA          ;4;F;PUR SANG;3;1;2;11830,00;0,00;11830,00;3943,33;545.0;obst
8801;HOLA QUE TAL             ;4;H;CHEVAL AUTRE QUE PUR SANG;3;0;2;11800,00;0,00;11800,00;3933,33;580.0;obst
8802;FAUSTA LAURO             ;6;F;CHEVAL AUTRE QUE PUR SANG;7;0;5;11785,00;0,00;11785,00;1683,57;510.0;obst
8803;SALVINIA                 ;3;F;PUR SANG;7;0;7;11775,00;0,00;11775,00;1682,14;545.0;obst
8804;WAL CASSANDRE            ;3;H;PUR SANG;4;1;2;11760,00;0,00;11760,00;2940,00;600.0;obst
8805;DJAKAO WIND              ;8;H;CHEVAL AUTRE QUE PUR SANG;4;1;3;11755,00;0,00;11755,00;2938,75;530.0;obst
8806;STAR IN CHOPE            ;3;F;PUR SANG;6;1;3;11740,00;0,00;11740,00;1956,67;570.0;obst
8807;GRECO LATIN              ;5;H;CHEVAL AUTRE QUE PUR SANG;6;0;5;11740,00;0,00;11740,00;1956,67;515.0;obst
8808;DEPENDE                  ;5;M;PUR SANG;7;1;2;11730,00;0,00;11730,00;1675,71;500.0;obst
8809;CAMPERO                  ;9;H;CHEVAL AUTRE QUE PUR SANG;3;1;2;11700,00;0,00;11700,00;3900,00;525.0;obst
8810;ETERNELLE CHABA          ;7;F;CHEVAL AUTRE QUE PUR SANG;4;1;1;11695,00;0,00;11695,00;2923,75;520.0;obst
8811;HOZIL                    ;4;H;CHEVAL AUTRE QUE PUR SANG;3;0;3;11690,00;0,00;11690,00;3896,67;;obst
8812;REDWILLOW IMPERIAL       ;7;H;PUR SANG;5;0;2;11685,00;0,00;11685,00;2337,00;600.0;obst
8813;CROC EN JAMBE            ;9;H;CHEVAL AUTRE QUE PUR SANG;5;1;3;11670,00;0,00;11670,00;2334,00;505.0;obst
8814;ALLURE DE CHAMPDOU       ;5;F;PUR SANG;2;1;1;11640,00;0,00;11640,00;5820,00;585.0;obst
8815;BRAMINETTE               ;4;F;PUR SANG;5;1;3;11610,00;0,00;11610,00;2322,00;570.0;obst
8816;SAINT PARIS              ;3;H;PUR SANG;3;0;3;11605,00;0,00;11605,00;3868,33;;obst
8817;ASTRAPI                  ;3;H;PUR SANG;3;1;2;11585,00;0,00;11585,00;3861,67;615.0;obst
8818;FREE ALLEN               ;6;F;CHEVAL AUTRE QUE PUR SANG;6;0;4;11580,00;0,00;11580,00;1930,00;;obst
8819;FLASH DAVIER             ;3;F;PUR SANG;4;0;3;11570,00;0,00;11570,00;2892,50;595.0;obst
8820;HEIDI DU SEUIL           ;4;F;CHEVAL AUTRE QUE PUR SANG;6;1;2;11560,00;0,00;11560,00;1926,67;510.0;obst
8821;TAYOUMA                  ;4;F;PUR SANG;2;2;0;11520,00;0,00;11520,00;5760,00;200.0;obst
8822;GUAIPARD                 ;5;H;CHEVAL AUTRE QUE PUR SANG;10;1;2;11520,00;0,00;11520,00;1152,00;530.0;obst
8823;WUTZELINO                ;5;H;PUR SANG;3;0;2;11520,00;0,00;11520,00;3840,00;590.0;obst
8824;HAMANDIO                 ;4;H;PUR SANG;3;0;3;11520,00;0,00;11520,00;3840,00;620.0;obst
8825;EVVIVA AA                ;7;F;*ANGLO-ARABE COMPLEMENT*;7;0;4;11515,00;0,00;11515,00;1645,00;;obst
8826;SENTENTZA                ;8;H;PUR SANG;4;1;3;11510,00;0,00;11510,00;2877,50;550.0;obst
8827;AUREOLE                  ;5;F;PUR SANG;6;1;4;11510,00;0,00;11510,00;1918,33;515.0;obst
8828;ROCKY TAO                ;3;H;PUR SANG;7;0;5;11505,00;0,00;11505,00;1643,57;560.0;obst
8829;APROXIMATELY             ;4;H;PUR SANG;2;0;1;11500,00;0,00;11500,00;5750,00;310.0;obst
8830;HOKORIKA DU MOU          ;4;F;CHEVAL AUTRE QUE PUR SANG;4;1;3;11460,00;0,00;11460,00;2865,00;;obst
8831;GAIUS                    ;5;H;PUR SANG;6;1;3;11405,00;0,00;11405,00;1900,83;565.0;obst
8832;LYON CLERMONT            ;7;H;PUR SANG;7;0;5;11405,00;0,00;11405,00;1629,29;500.0;obst
8833;RUZZINI                  ;4;H;PUR SANG;8;1;2;11380,00;0,00;11380,00;1422,50;520.0;obst
8834;BRAINSTORM               ;3;H;PUR SANG;4;1;1;11380,00;0,00;11380,00;2845,00;610.0;obst
8835;ADIOS CLEMENTO           ;9;H;PUR SANG;8;0;4;11370,00;0,00;11370,00;1421,25;500.0;obst
8836;SALT ROCK                ;4;H;PUR SANG;5;0;4;11360,00;0,00;11360,00;2272,00;530.0;obst
8837;ROCKTALINE               ;7;F;PUR SANG;4;1;2;11340,00;0,00;11340,00;2835,00;560.0;obst
8838;PADIRAC                  ;4;H;PUR SANG;9;0;6;11330,00;0,00;11330,00;1258,89;495.0;obst
8839;INES DU CHENET           ;3;F;PUR SANG;2;1;1;11315,00;0,00;11315,00;5657,50;;obst
8840;LORD DRAGON              ;5;H;PUR SANG;3;0;3;11305,00;0,00;11305,00;3768,33;570.0;obst
8841;FALDEX                   ;4;H;PUR SANG;7;1;5;11295,00;0,00;11295,00;1613,57;545.0;obst
8842;MISSED CUE               ;3;F;PUR SANG;3;0;3;11295,00;0,00;11295,00;3765,00;600.0;obst
8843;HAMICICE                 ;4;H;CHEVAL AUTRE QUE PUR SANG;4;2;1;11280,00;0,00;11280,00;2820,00;560.0;obst
8844;INDY DU GOUET            ;3;H;PUR SANG;2;1;1;11280,00;0,00;11280,00;5640,00;;obst
8845;ETOILE DU MOU            ;7;F;CHEVAL AUTRE QUE PUR SANG;3;1;1;11280,00;0,00;11280,00;3760,00;;obst
8846;RAPHARI                  ;5;H;PUR SANG;2;1;1;11280,00;0,00;11280,00;5640,00;;obst
8847;HAZUR DU DOUBS           ;4;F;CHEVAL AUTRE QUE PUR SANG;3;1;2;11280,00;0,00;11280,00;3760,00;515.0;obst
8848;GALCOFLAUR               ;5;H;CHEVAL AUTRE QUE PUR SANG;4;0;3;11280,00;0,00;11280,00;2820,00;;obst
8849;HECTORE DE VASSY         ;4;H;CHEVAL AUTRE QUE PUR SANG;3;1;2;11265,00;0,00;11265,00;3755,00;560.0;obst
8850;GEORGIA PARCS            ;5;F;CHEVAL AUTRE QUE PUR SANG;3;1;1;11260,00;0,00;11260,00;3753,33;;obst
8851;ERIK LE VIKING           ;4;H;PUR SANG;5;0;5;11255,00;0,00;11255,00;2251,00;530.0;obst
8852;DERNIER CRI              ;8;H;CHEVAL AUTRE QUE PUR SANG;7;0;3;11230,00;0,00;11230,00;1604,29;510.0;obst
8853;FLAVIUS                  ;6;H;CHEVAL AUTRE QUE PUR SANG;4;1;2;11205,00;0,00;11205,00;2801,25;520.0;obst
8854;CURIEUX                  ;9;H;PUR SANG;4;0;3;11200,00;0,00;11200,00;2800,00;560.0;obst
8855;FAIRY OF LIGHT           ;4;F;PUR SANG;7;0;7;11195,00;0,00;11195,00;1599,29;510.0;obst
8856;ENKI BABA                ;8;H;PUR SANG;10;0;5;11185,00;0,00;11185,00;1118,50;485.0;obst
8857;FLEUR D'ECUPILLAC        ;6;F;CHEVAL AUTRE QUE PUR SANG;5;1;2;11160,00;0,00;11160,00;2232,00;550.0;obst
8858;HENRY BRULARD            ;6;H;PUR SANG;8;1;1;11160,00;0,00;11160,00;1395,00;520.0;obst
8859;RIAL                     ;4;H;PUR SANG;9;0;4;11160,00;0,00;11160,00;1240,00;480.0;obst
8860;EARLY EDUCATION          ;5;F;PUR SANG;4;1;1;11115,00;0,00;11115,00;2778,75;590.0;obst
8861;TOP PRINCE               ;5;H;PUR SANG;5;1;1;11080,00;0,00;11080,00;2216,00;520.0;obst
8862;GLORIOUS WINGS           ;5;F;CHEVAL AUTRE QUE PUR SANG;4;1;1;11080,00;0,00;11080,00;2770,00;545.0;obst
8863;TOP ROCK TALULA          ;6;F;PUR SANG;9;0;5;11065,00;0,00;11065,00;1229,44;495.0;obst
8864;FOLBURG DE PALMA         ;6;H;CHEVAL AUTRE QUE PUR SANG;5;0;2;11050,00;0,00;11050,00;2210,00;555.0;obst
8865;GOLLIATH                 ;5;H;CHEVAL AUTRE QUE PUR SANG;3;1;0;11040,00;0,00;11040,00;3680,00;525.0;obst
8866;ITACARE                  ;4;H;PUR SANG;2;1;0;11040,00;0,00;11040,00;5520,00;590.0;obst
8867;ANGE DE JUILLEY          ;5;H;PUR SANG;2;1;0;11040,00;0,00;11040,00;5520,00;600.0;obst
8868;CHEMINEE                 ;6;F;PUR SANG;3;1;1;11025,00;0,00;11025,00;3675,00;590.0;obst
8869;SIR KHEVI                ;4;H;PUR SANG;2;1;1;10980,00;0,00;10980,00;5490,00;590.0;obst
8870;PALMYRE KING             ;5;H;PUR SANG;5;1;3;10970,00;0,00;10970,00;2194,00;550.0;obst
8871;PAINTBALL                ;4;H;PUR SANG;7;0;4;10930,00;0,00;10930,00;1561,43;535.0;obst
8872;ME BEFORE YOU            ;3;F;PUR SANG;2;1;1;10925,00;0,00;10925,00;5462,50;;obst
8873;FEELING FAST             ;6;H;CHEVAL AUTRE QUE PUR SANG;5;0;2;10920,00;0,00;10920,00;2184,00;;obst
8874;JUNTA POST               ;4;F;PUR SANG;6;0;4;10915,00;0,00;10915,00;1819,17;575.0;obst
8875;RUZ GWENN HA DU          ;3;H;PUR SANG;3;1;2;10910,00;0,00;10910,00;3636,67;580.0;obst
