Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"GIZZERIA                 ";5;F;"CHEVAL AUTRE QUE PUR SANG";5;0;2;6500,00;0,00;6500,00;1300,00;535
"IRONIQUE                 ";3;H;"CHEVAL AUTRE QUE PUR SANG";1;1;0;6480,00;0,00;6480,00;6480,00;625
"LORD BOBBY               ";4;H;"PUR SANG";3;0;3;6480,00;0,00;6480,00;2160,00;560
"FAUT PAS REVER           ";4;F;"PUR SANG";2;0;2;6480,00;0,00;6480,00;3240,00;590
"GOUGOUNE                 ";5;F;"PUR SANG";4;1;1;6420,00;0,00;6420,00;1605,00;510
"EAGLE STEAL              ";7;H;"CHEVAL AUTRE QUE PUR SANG";8;0;4;6385,00;0,00;6385,00;798,13;485
"LA ROSSA                 ";7;F;"PUR SANG";7;1;1;6345,00;0,00;6345,00;906,43;490
"SAINT EX                 ";4;H;"PUR SANG";2;1;1;6345,00;0,00;6345,00;3172,50;580
"HIGGY                    ";4;H;"CHEVAL AUTRE QUE PUR SANG";4;0;4;6310,00;0,00;6310,00;1577,50;520
"BATOUM LUDOIS            ";10;H;"CHEVAL AUTRE QUE PUR SANG";3;1;1;6300,00;0,00;6300,00;2100,00;
"DARKLY ROCHELAISE        ";8;F;"PUR SANG";3;1;0;6240,00;0,00;6240,00;2080,00;
"NIKITA DE TEILLEE        ";4;F;"PUR SANG";2;1;0;6240,00;0,00;6240,00;3120,00;
"GLORIA DU MORVAN         ";5;F;"CHEVAL AUTRE QUE PUR SANG";2;1;0;6240,00;0,00;6240,00;3120,00;540
"BAHIOSUN                 ";3;H;"PUR SANG";3;1;0;6240,00;0,00;6240,00;2080,00;
"MARCHE A L'OMBRE         ";5;F;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;565
"HARMONIE DE MAI          ";4;F;"CHEVAL AUTRE QUE PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"COLPO DI STATO           ";7;H;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;535
"PARIS D'AUTEUIL          ";6;H;"PUR SANG";7;1;0;6240,00;0,00;6240,00;891,43;485
"DIONYSOS COLOMBE         ";8;H;"CHEVAL AUTRE QUE PUR SANG";4;1;0;6240,00;0,00;6240,00;1560,00;
"GEORGES JEAN             ";5;H;"CHEVAL AUTRE QUE PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;560
"GALILEO DE VIETTE        ";5;H;"PUR SANG";2;1;0;6240,00;0,00;6240,00;3120,00;560
"SAINTE JOSEE             ";5;F;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"HUE MASTER               ";4;H;"CHEVAL AUTRE QUE PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"HERMIONE D'ARTHEL        ";4;F;"CHEVAL AUTRE QUE PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"HARD ROC DE KERSER       ";4;H;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"MUSICA DE BAUNE          ";4;F;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"GUSTIN                   ";5;H;"CHEVAL AUTRE QUE PUR SANG";2;1;0;6240,00;0,00;6240,00;3120,00;
"NOLANE DE VINDECY        ";5;F;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;530
"FUN DE ROTS              ";6;H;"CHEVAL AUTRE QUE PUR SANG";3;1;0;6240,00;0,00;6240,00;2080,00;545
"CRAPULE                  ";9;H;"CHEVAL AUTRE QUE PUR SANG";4;1;0;6240,00;0,00;6240,00;1560,00;505
"CONTE MALTAIX            ";9;H;"CHEVAL AUTRE QUE PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"SLEEPINGKO               ";9;H;"PUR SANG";2;1;0;6240,00;0,00;6240,00;3120,00;
"PEPITO DES BOIS          ";5;H;"PUR SANG";3;1;0;6240,00;0,00;6240,00;2080,00;520
"GIBOUTI                  ";5;H;"CHEVAL AUTRE QUE PUR SANG";2;1;0;6240,00;0,00;6240,00;3120,00;
"ALWAYS LOVE YOU          ";4;H;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"EARLISH DE GRUGY         ";7;F;"CHEVAL AUTRE QUE PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;560
"LOUP NONANTAIS           ";4;H;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;590
"MASTERROSE               ";4;H;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;560
"HOTESSE DE CIERGUE       ";4;F;"CHEVAL AUTRE QUE PUR SANG";2;1;0;6240,00;0,00;6240,00;3120,00;
"MISS SADDEX              ";5;F;"PUR SANG";7;1;0;6240,00;0,00;6240,00;891,43;
"ZUMBA DU MAZET AA        ";5;F;"ANGLO-ARABE DE COMPLEMENT";1;1;0;6240,00;0,00;6240,00;6240,00;
"BROAD PEAK               ";9;H;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;
"RHODIER                  ";5;H;"PUR SANG";1;1;0;6240,00;0,00;6240,00;6240,00;560
"HONDA COLLONGES          ";4;F;"CHEVAL AUTRE QUE PUR SANG";2;0;2;6240,00;0,00;6240,00;3120,00;520
"SINDARBUENO              ";8;H;"PUR SANG";6;0;2;6240,00;0,00;6240,00;1040,00;480
"GALILEE SKA              ";5;F;"PUR SANG";5;0;2;6240,00;0,00;6240,00;1248,00;500
"HERMANN CLERMONT         ";4;H;"PUR SANG";2;0;2;6240,00;0,00;6240,00;3120,00;515
