Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"HUCELLO                  ";4;H;"CHEVAL AUTRE QUE PUR SANG";3;2;1;63190,00;0,00;63190,00;21063,33;680
"HOPI DU MATHAN           ";4;F;"PUR SANG";8;2;6;63040,00;0,00;63040,00;7880,00;585
"KARUSO DE GRUCHY         ";4;H;"PUR SANG";3;1;2;62880,00;0,00;62880,00;20960,00;600
"BETONG EMERY             ";5;H;"PUR SANG";10;2;5;62450,00;0,00;62450,00;6245,00;580
"VALENTEENE               ";4;F;"PUR SANG";6;1;5;62060,00;0,00;62060,00;10343,33;590
"MUTHTEMPS                ";8;H;"PUR SANG";9;1;7;61820,00;0,00;61820,00;6868,89;570
"GRAN DIOSE               ";5;H;"PUR SANG";4;2;2;61635,00;0,00;61635,00;15408,75;600
"IRONMAN DES PLACES       ";3;H;"PUR SANG";4;2;2;61400,00;0,00;61400,00;15350,00;
"KIMRIVER                 ";5;H;"PUR SANG";5;2;1;61380,00;0,00;61380,00;12276,00;640
"LINA REZ                 ";4;F;"PUR SANG";4;1;2;61180,00;0,00;61180,00;15295,00;615
"LES YEUX VERT            ";3;F;"PUR SANG";2;2;0;60960,00;0,00;60960,00;30480,00;
"MAGNETO                  ";4;H;"PUR SANG";6;2;4;60530,00;0,00;60530,00;10088,33;615
"ROYALE MARGAUX           ";3;F;"PUR SANG";7;4;0;60300,00;0,00;60300,00;8614,29;670
"TEQUILA SUN              ";8;F;"PUR SANG";5;2;2;59920,00;0,00;59920,00;11984,00;
"HISPANIC MOON            ";4;F;"CHEVAL AUTRE QUE PUR SANG";6;2;4;59870,00;0,00;59870,00;9978,33;635
"PORTENTOSO               ";6;H;"PUR SANG";7;2;4;59865,00;0,00;59865,00;8552,14;560
"HAROWA                   ";4;F;"CHEVAL AUTRE QUE PUR SANG";6;2;4;58335,00;0,00;58335,00;9722,50;610
"METASEQUOIA              ";4;H;"PUR SANG";3;1;2;58220,00;0,00;58220,00;19406,67;655
